Lead ID,Job Title,Language,Valid JT,Job Role,Marketing Audience,Function,Seniority,Confidence Score,Disposition Reason
4,"Individual Contributor/Staff, Marketing/Sales",en,Yes,Sales Specialist,Sales User,Sales,Entry,1.0,Pass
2,"Owner, Marketing/Sales",en,Yes,Sales Operations Manager,Sales DM,Sales,Manager,0.75,Pass
3,"Manager, Information Technology",en,Yes,Information Technology Manager,Information Technology DM,Information Technology,Manager,0.95,Pass
5,"Manager, Accounting and Finance",en,Yes,No suitable match found,,,,0.0,Pass
1,Senior manager,en,Yes,Cyber Security Analyst,Security User,Security,Entry,0.85,Pass
6,"Manager, Data/Business Intelligence",en,Yes,Manager Data Management,Data Professional DM,Data Professional,Manager,0.85,Pass
9,"Manager, Marketing/Sales",en,Yes,Sales Manager,Sales DM,Sales,Manager,0.85,Pass
7,Supervisor de operaciones,es,Yes,Director of Operations,Operations DM,Operations,Director,0.85,Pass
8,Professor,en,Yes,Professor,Education DM,Education,Senior,1.0,Pass
10,Aplication Engineer,en,Yes,Technology Development Engineer,Engineering User,Engineering,Entry,0.85,Pass
12,"Director, Data/Business Intelligence",en,Yes,No suitable match found,,,,0.0,Pass
14,"Manager, Operations",en,Yes,Operations Manager,Operations DM,Operations,Manager,0.95,Pass
15,Data Analyst,en,Yes,Data Analyst,Data Professional User,Data Professional,Entry,1.0,Pass
13,Field Marketing Manager,en,Yes,Marketing Manager,Marketing DM,Marketing,Manager,0.85,Pass
11,"Manager, Information Technology",en,Yes,Digital Marketing Manager,Marketing DM,Marketing,Manager,0.85,Pass
20,Head of Data Science,en,Yes,Director Data Science,Data Professional DM,Data Professional,Director,0.85,Pass
18,"Manager, Finance",en,Yes,Finance Manager,Accounting and Finance DM,Accounting and Finance,Manager,0.9,Pass
16,Creative Director,en,Yes,Content Director,Media and Communication DM,Media and Communication,Director,0.8,Pass
17,"Individual Contributor/Staff, Solutions/Systems Architect",en,Yes,System Architect,Architect DM,Architect,Senior,0.95,Pass
19,"CXO, Marketing",en,Yes,Chief Marketing Officer,Marketing CXO,Marketing,CXO,1.0,Pass
24,"Manager, Cybersecurity & Identity/Access Management",en,Yes,Cyber Security Manager,Security DM,Security,Manager,0.85,Pass
23,"Manager, Infrastructure & Technology Management",en,Yes,Information Technology Manager,Information Technology DM,Information Technology,Manager,0.85,Pass
22,Vice General Manager,en,Yes,Managing Director,Business Development CXO,Business Development,CXO,0.85,Pass
21,Senior Packaging Researcher,en,Yes,Packaging Specialist,Supply and Logistics User,Supply and Logistics,Entry,0.85,Pass
25,"Individual Contributor/Staff, Customer Service/Field Support",en,Yes,Customer Service Manager,Customer Service and Support DM,Customer Service and Support,Manager,0.75,Pass
30,"Manager, Sales",en,Yes,Sales Manager,Sales DM,Sales,Manager,0.85,Pass
26,"Director, Engineering",en,Yes,Director of Engineering,Engineering DM,Engineering,Director,1.0,Pass
29,"CXO, Program and Project Management",en,Yes,Chief Operations Officer,Operations CXO,Operations,CXO,0.95,Pass
28,"Owner, Chief Officer",en,Yes,Owner,Business Development CXO,Business Development,Owner,0.85,Pass
27,"Individual Contributor/Staff, Chief Officer",en,Yes,Public Relations Manager,Media and Communication DM,Media and Communication,Manager,0.75,Pass
32,"Manager, Information Technology",en,Yes,Technology Manager,Information Technology DM,Information Technology,Manager,0.85,Pass
33,Engineering manager,en,Yes,Engineering Manager,Engineering DM,Engineering,Manager,0.85,Pass
31,IT Department Manager,en,Yes,Information Technology Manager,Information Technology DM,Information Technology,Manager,0.9,Pass
34,"Manager, Information Technology",en,Yes,Information Technology Manager,Information Technology DM,Information Technology,Manager,0.95,Pass
35,"Vice President, Sales",en,Yes,Vice President of Sales,Sales DM,Sales,VP,0.95,Pass
37,General Manager,en,Yes,Managing Director,Business Development CXO,Business Development,CXO,0.85,Pass
